cohort,controller,contract,status,implementation_state,mworks_codegen_state,generated_sil_state,selectable,mission_status,provenance_status,pre_takeoff_status,takeoff_reached,landing_disarm,hover_xy_rmse_m,hover_z_rmse_m,trajectory_status,first_blocker,claim_ceiling,evidence_paths
P4_MPC,tube_mpc,single_uav_takeoff_hover_land,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,True,True,0.00937408305289662,0.021296255261340543,not_run,hover_z_rmse_above_max:0.021296255261340543,executed_not_accepted,Results/control_platform/p4_mpc_runtime_20260716/tube_mpc_retry2_provenance/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p4_mpc_runtime_20260716/tube_mpc_retry2_provenance/MPC_GENERATED_RUNTIME_PROVENANCE.json
P4_MPC,explicit_gain_scheduled_mpc,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.01443648786262946,0.01636049872656807,not_run,,generated_c_gazebo_takeoff_hover_land,Results/control_platform/p4_mpc_runtime_20260716/explicit_gain_scheduled_mpc/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p4_mpc_runtime_20260716/explicit_gain_scheduled_mpc/MPC_GENERATED_RUNTIME_PROVENANCE.json
P4_MPC,ilqr,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.019562308315915315,0.013370014169546375,not_run,,generated_c_gazebo_takeoff_hover_land,Results/control_platform/p4_mpc_runtime_20260716/ilqr/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p4_mpc_runtime_20260716/ilqr/MPC_GENERATED_RUNTIME_PROVENANCE.json
P4_MPC,mppi,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.01595931473356575,0.01708429604238394,not_run,,generated_c_gazebo_takeoff_hover_land,Results/control_platform/p4_mpc_runtime_20260716/mppi/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p4_mpc_runtime_20260716/mppi/MPC_GENERATED_RUNTIME_PROVENANCE.json
P5_ENHANCEMENT,l1_adaptive,single_uav_takeoff_hover_land,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,True,True,0.08207561898787691,0.1864518294546371,not_run,hover_xy_rmse_above_max:0.08207561898787691;hover_xy_max_above_max:0.12303823096290949;hover_z_rmse_above_max:0.1864518294546371;hover_z_max_above_max:0.20669818688037678,executed_not_accepted,Results/control_platform/p5_enhancement_runtime_20260717/l1_adaptive_retry1/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p5_enhancement_runtime_20260717/l1_adaptive_retry1/ENHANCEMENT_GENERATED_RUNTIME_PROVENANCE.json
P5_ENHANCEMENT,awff,single_uav_takeoff_hover_land,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,True,True,0.08696451638455865,0.018681466773995566,not_run,hover_xy_rmse_above_max:0.08696451638455865;hover_xy_max_above_max:0.1226416160055635,executed_not_accepted,Results/control_platform/p5_enhancement_runtime_20260717/awff/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p5_enhancement_runtime_20260717/awff/ENHANCEMENT_GENERATED_RUNTIME_PROVENANCE.json
P5_ENHANCEMENT,complete_adrc,single_uav_takeoff_hover_land,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,True,True,0.11253113303936185,0.10122230817759983,not_run,hover_xy_rmse_above_max:0.11253113303936185;hover_xy_max_above_max:0.37959415801647134;hover_z_rmse_above_max:0.10122230817759983;hover_z_max_above_max:0.16448450119727753,executed_not_accepted,Results/control_platform/p5_enhancement_runtime_20260717/complete_adrc/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p5_enhancement_runtime_20260717/complete_adrc/ENHANCEMENT_GENERATED_RUNTIME_PROVENANCE.json
P5_ENHANCEMENT,standardized_indi,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.011952039480000107,0.017701746763262714,not_run,,generated_c_gazebo_takeoff_hover_land,Results/control_platform/p5_enhancement_runtime_20260717/standardized_indi/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p5_enhancement_runtime_20260717/standardized_indi/ENHANCEMENT_GENERATED_RUNTIME_PROVENANCE.json
P5_ENHANCEMENT,parameter_scheduling,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.012125038328151115,0.01813948533372813,not_run,,generated_c_gazebo_takeoff_hover_land,Results/control_platform/p5_enhancement_runtime_20260717/parameter_scheduling/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p5_enhancement_runtime_20260717/parameter_scheduling/ENHANCEMENT_GENERATED_RUNTIME_PROVENANCE.json
P5_ENHANCEMENT,ilc,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.009867794205851032,0.014095828502218695,not_run,,generated_c_gazebo_takeoff_hover_land,Results/control_platform/p5_enhancement_runtime_20260717/ilc/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p5_enhancement_runtime_20260717/ilc/ENHANCEMENT_GENERATED_RUNTIME_PROVENANCE.json
G9_CORE_COMPARISON,official_pid,generated_c_takeoff_hover_land_and_figure_eight,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,True,True,0.023873305858575323,0.01933217232399756,not_run,hover_xy_rmse_above_max:0.023873305858575323,executed_not_accepted,Results/control_platform/controller_family_final_acceptance_20260717/g9_core/official_pid/takeoff_hover_land_retry2/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/controller_family_final_acceptance_20260717/g9_core/official_pid/takeoff_hover_land_retry2/G9_GENERATED_RUNTIME_PROVENANCE.json
G9_CORE_COMPARISON,se3_basic,generated_c_takeoff_hover_land_and_figure_eight,not_run,implemented,passed,passed,False,,,,,,,,not_run,official_pid shared baseline blocked; controller gate not run,offline_equivalence_only,Docs/Workflows/g9_mworks_generated_runtime_closeout.md
G9_CORE_COMPARISON,dfbc_basic,generated_c_takeoff_hover_land_and_figure_eight,not_run,implemented,passed,passed,False,,,,,,,,not_run,official_pid shared baseline blocked; controller gate not run,offline_equivalence_only,Docs/Workflows/g9_mworks_generated_runtime_closeout.md
G9_CORE_COMPARISON,smc_boundary_layer,generated_c_takeoff_hover_land_and_figure_eight,not_run,implemented,passed,passed,False,,,,,,,,not_run,official_pid shared baseline blocked; controller gate not run,offline_equivalence_only,Docs/Workflows/g9_mworks_generated_runtime_closeout.md
G9_CORE_COMPARISON,pid_indi,generated_c_takeoff_hover_land_and_figure_eight,not_run,implemented,passed,passed,False,,,,,,,,not_run,official_pid shared baseline blocked; controller gate not run,offline_equivalence_only,Docs/Workflows/g9_mworks_generated_runtime_closeout.md
G9_CORE_COMPARISON,nmpc_outer,generated_c_takeoff_hover_land_and_figure_eight,not_run,implemented,passed,passed,False,,,,,,,,not_run,official_pid shared baseline blocked; controller gate not run,offline_equivalence_only,Docs/Workflows/g9_mworks_generated_runtime_closeout.md
P6_SAFETY,safety_supervisor_family,event_acknowledgement,accepted,implemented,passed,passed,True,passed,,,,,,,,,seven_generated_safety_modes_runtime_event_acknowledged,Results/control_platform/p6_safety_runtime_20260717/P6_SAFETY_RUNTIME_MATRIX.json
P7_FTC,fdi_ftc_family,physical_rotor_loss_isolation_takeover_landing,accepted,implemented,passed,passed,True,passed,,,,,,,,,physical_rotor1_loss35_generated_ftc_runtime_accepted,Results/control_platform/p7_ftc_generated_gazebo_r3_20260717/P7_FTC_RUNTIME_CLOSEOUT.json
P8_FORMATION,leader_follower,three_uav_generated_formation,accepted,implemented,passed,passed,True,passed,,,,,,,,,three_uav_takeoff_hover_land_generated_formation,Results/control_platform/p8_formation_mode1_gazebo_r7_20260717/PX4CTRL_SWARM_BASIC_METRICS.json
P8_FORMATION,virtual_structure,three_uav_generated_formation,accepted,implemented,passed,passed,True,passed,,,,,,,,,three_uav_takeoff_hover_land_generated_formation,Results/control_platform/p8_formation_mode2_gazebo_r7_20260717/PX4CTRL_SWARM_BASIC_METRICS.json
P8_FORMATION,consensus,three_uav_generated_formation,accepted,implemented,passed,passed,True,passed,,,,,,,,,three_uav_takeoff_hover_land_generated_formation,Results/control_platform/p8_formation_mode3_gazebo_r3_20260717/PX4CTRL_SWARM_BASIC_METRICS.json
P8_FORMATION,containment,three_uav_generated_formation,accepted,implemented,passed,passed,True,passed,,,,,,,,,three_uav_takeoff_hover_land_generated_formation,Results/control_platform/p8_formation_mode4_gazebo_r3_20260717/PX4CTRL_SWARM_BASIC_METRICS.json
P8_FORMATION,formation_tracking,three_uav_generated_formation,accepted,implemented,passed,passed,True,passed,,,,,,,,,three_uav_takeoff_hover_land_generated_formation,Results/control_platform/p8_formation_mode5_gazebo_r1_20260717/PX4CTRL_SWARM_BASIC_METRICS.json
P8_FORMATION,formation_reconfiguration,three_uav_generated_formation,accepted,implemented,passed,passed,True,passed,,,,,,,,,three_uav_takeoff_hover_land_generated_formation,Results/control_platform/p8_formation_mode6_gazebo_r1_20260717/PX4CTRL_SWARM_BASIC_METRICS.json
P8_FORMATION,fault_tolerant_formation,three_uav_generated_formation,accepted,implemented,passed,passed,True,passed,,,,,,,,,three_uav_takeoff_hover_land_generated_formation,Results/control_platform/p8_formation_mode7_gazebo_r1_20260717/PX4CTRL_SWARM_BASIC_METRICS.json
P8_FORMATION,formation_cbf,three_uav_generated_formation,accepted,implemented,passed,passed,True,passed,,,,,,,,,three_uav_takeoff_hover_land_generated_formation,Results/control_platform/p8_formation_mode8_gazebo_r3_20260717/PX4CTRL_SWARM_BASIC_METRICS.json
P8_FORMATION,distributed_mpc_formation,three_uav_generated_formation,accepted,implemented,passed,passed,True,passed,,,,,,,,,three_uav_takeoff_hover_land_generated_formation,Results/control_platform/p8_formation_mode9_gazebo_r3_20260717/PX4CTRL_SWARM_BASIC_METRICS.json
P9_LEARNING,trained_neural_residual,nominal_wind_parameter_mismatch_ab,executed_blocked,implemented,passed,passed,False,passed,passed_in_all_three_conditions,,,True,,,,strict performance acceptance blocked,report_ready_runtime_execution_not_selectable,Results/control_platform/p9_learning_gazebo_r4_20260717/P9_LEARNING_RUNTIME_CLOSEOUT.json
P9_LEARNING,rl_gain_scheduler,nominal_wind_parameter_mismatch_ab,executed_blocked,implemented,passed,passed,False,passed,passed_in_all_three_conditions,,,True,,,,strict performance acceptance blocked,report_ready_runtime_execution_not_selectable,Results/control_platform/p9_learning_gazebo_r4_20260717/P9_LEARNING_RUNTIME_CLOSEOUT.json
