出油量/L	显示油高/mm	显示油量容积/L
96.66	2020.47 	46714.83 
116.16	2016.11 	46600.46 
239.12	2007.08 	46363.09 
154.50	2001.33 	46211.59 
314.56	1989.59 	45901.47 
316.03	1977.87 	45590.80 
226.29	1969.43 	45366.43 
285.90	1958.83 	45083.88 
163.75	1952.81 	44923.05 
224.69	1944.49 	44700.35 
321.69	1932.64 	44382.33 
205.69	1925.05 	44178.12 
309.66	1913.71 	43872.31 
249.73	1904.51 	43623.60 
186.43	1897.67 	43438.33 
231.42	1889.27 	43210.41 
297.79	1878.40 	42914.84 
109.19	1874.41 	42806.16 
162.87	1868.46 	42643.93 
328.52	1856.54 	42318.32 
166.13	1850.51 	42153.30 
237.66	1841.92 	41917.87 
303.97	1830.91 	41615.55 
330.11	1818.96 	41286.70 
235.69	1810.42 	41051.26 
86.15	1807.34 	40966.26 
66.88	1804.98 	40901.09 
225.69	1796.80 	40675.04 
213.49	1789.13 	40462.79 
323.39	1777.51 	40140.74 
263.59	1768.05 	39878.12 
240.84	1759.42 	39638.21 
201.31	1752.19 	39437.00 
128.80	1747.59 	39308.87 
324.38	1735.97 	38984.85 
206.56	1728.57 	38778.25 
64.47	1726.26 	38713.71 
251.13	1717.30 	38463.22 
201.55	1710.10 	38261.74 
72.35	1707.51 	38189.22 
305.18	1696.61 	37883.79 
148.15	1691.31 	37735.15 
120.83	1687.01 	37614.49 
88.98	1683.87 	37526.35 
142.33	1678.77 	37383.13 
121.05	1674.48 	37262.60 
240.40	1665.96 	37023.08 
75.05	1663.30 	36948.26 
133.08	1658.55 	36814.61 
134.22	1653.73 	36678.94 
303.81	1642.93 	36374.74 
181.64	1636.48 	36192.94 
268.23	1626.92 	35923.33 
226.45	1618.89 	35696.73 
276.49	1609.06 	35419.17 
87.44	1605.92 	35330.47 
331.77	1594.13 	34997.30 
293.80	1583.65 	34700.98 
72.05	1581.14 	34629.99 
187.88	1574.48 	34441.58 
148.35	1569.22 	34292.75 
233.46	1560.92 	34057.83 
120.98	1556.62 	33936.10 
220.76	1548.82 	33715.25 
224.72	1540.79 	33487.84 
224.46	1532.79 	33261.23 
183.46	1526.30 	33077.38 
65.53	1523.95 	33010.80 
200.46	1516.81 	32808.51 
170.84	1510.73 	32636.23 
86.76	1507.65 	32548.96 
187.61	1501.06 	32362.23 
181.73	1494.55 	32177.83 
210.27	1487.03 	31964.75 
282.54	1476.98 	31680.00 
253.04	1467.97 	31424.74 
300.69	1457.25 	31121.10 
70.11	1454.73 	31049.73 
118.47	1450.53 	30930.79 
185.56	1443.93 	30743.92 
323.97	1432.35 	30416.13 
277.01	1422.45 	30136.01 
181.51	1415.93 	29951.59 
149.46	1410.60 	29800.87 
72.20	1408.01 	29727.64 
262.95	1398.60 	29461.68 
197.90	1391.53 	29261.94 
111.01	1387.53 	29148.98 
174.85	1381.26 	28971.96 
103.94	1377.57 	28867.81 
263.82	1368.05 	28599.24 
157.63	1362.37 	28439.09 
317.84	1350.95 	28117.30 
59.23	1348.78 	28056.19 
286.14	1338.49 	27766.55 
229.92	1330.22 	27533.96 
204.09	1322.84 	27326.55 
235.19	1314.33 	27087.57 
255.78	1305.06 	26827.49 
80.70	1302.12 	26745.05 
297.81	1291.34 	26443.03 
58.55	1289.20 	26383.11 
134.84	1284.26 	26244.87 
105.09	1280.46 	26138.58 
309.59	1269.19 	25823.64 
74.59	1266.51 	25748.82 
213.87	1258.70 	25530.91 
228.59	1250.33 	25297.63 
232.85	1241.82 	25060.73 
291.52	1231.17 	24764.66 
69.58	1228.61 	24693.57 
274.83	1218.44 	24411.40 
199.23	1211.15 	24209.41 
240.50	1202.21 	23962.04 
114.57	1198.09 	23848.16 
199.32	1190.65 	23642.72 
243.63	1181.63 	23394.00 
312.12	1170.06 	23075.57 
172.18	1163.62 	22898.62 
77.28	1160.77 	22820.38 
68.22	1158.19 	22749.60 
222.45	1149.90 	22522.38 
267.60	1139.94 	22249.89 
238.23	1131.02 	22006.33 
143.68	1125.57 	21857.74 
303.60	1114.10 	21545.60 
191.38	1106.90 	21350.06 
304.75	1095.36 	21037.34 
71.71	1092.63 	20963.48 
108.70	1088.56 	20853.45 
254.23	1078.81 	20590.32 
293.80	1067.66 	20290.19 
255.77	1057.84 	20026.55 
129.62	1052.88 	19893.65 
91.24	1049.36 	19799.43 
273.31	1038.89 	19519.72 
252.40	1029.04 	19257.31 
122.34	1024.33 	19132.09 
109.36	1020.05 	19018.44 
134.35	1014.84 	18880.29 
265.55	1004.54 	18607.78 
261.97	994.32 	18338.22 
196.85	986.62 	18135.68 
195.02	978.90 	17933.11 
122.92	974.04 	17805.83 
226.90	965.05 	17570.93 
252.54	955.08 	17311.22 
159.70	948.67 	17144.71 
162.52	942.21 	16977.27 
166.93	935.55 	16805.03 
118.14	930.76 	16681.41 
218.17	922.00 	16455.87 
273.32	910.97 	16172.90 
271.65	899.88 	15889.56 
232.94	890.41 	15648.56 
112.97	885.81 	15531.81 
216.63	876.91 	15306.54 
80.75	873.59 	15222.71 
78.26	870.36 	15141.26 
94.48	866.45 	15042.81 
84.35	862.99 	14955.81 
189.36	855.14 	14758.91 
64.76	852.41 	14690.59 
244.00	842.18 	14435.27 
221.72	832.95 	14205.87 
267.55	821.69 	13927.29 
162.77	814.77 	13756.79 
200.98	806.22 	13546.88 
254.71	795.32 	13280.49 
171.33	787.93 	13100.67 
112.21	783.11 	12983.73 
271.64	771.35 	12699.59 
54.02	768.99 	12642.77 
121.50	763.72 	12516.14 
267.19	751.99 	12235.51 
128.44	746.34 	12100.96 
114.50	741.25 	11980.09 
72.75	738.04 	11904.03 
249.97	726.89 	11640.87 
74.75	723.53 	11561.89 
119.01	718.21 	11437.14 
242.18	707.24 	11181.08 
153.85	700.24 	11018.54 
179.45	692.09 	10830.14 
169.32	684.25 	10649.77 
196.36	675.27 	10444.23 
48.46	672.98 	10391.99 
157.16	665.70 	10226.44 
48.80	663.38 	10173.84 
219.44	653.11 	9941.94 
113.93	647.71 	9820.62 
220.43	637.24 	9586.64 
93.66	632.78 	9487.47 
163.22	624.97 	9314.53 
233.20	613.59 	9064.22 
49.86	611.11 	9009.94 
51.84	608.57 	8954.45 
47.19	606.36 	8906.24 
178.87	597.55 	8714.85 
161.73	589.56 	8542.35 
62.71	586.42 	8474.84 
199.66	576.46 	8261.77 
162.83	568.28 	8087.99 
51.86	565.58 	8030.88 
53.85	562.89 	7974.10 
66.32	559.53 	7903.35 
189.63	549.64 	7696.21 
58.51	546.71 	7635.17 
83.87	542.34 	7544.40 
84.74	537.90 	7452.52 
60.32	534.85 	7389.60 
199.47	524.27 	7172.62 
168.82	515.29 	6990.02 
174.06	505.95 	6801.65 
156.82	497.44 	6631.41 
131.25	490.28 	6489.23 
94.42	485.02 	6385.39 
156.18	476.40 	6216.36 
56.73	473.22 	6154.36 
60.81	469.74 	6086.74 
	2486.21 	57704.79 
55.00	2483.61 	57652.14 
189.53	2474.79 	57472.64 
52.96	2472.37 	57423.14 
59.96	2469.66 	57367.59 
154.21	2462.44 	57218.95 
65.27	2459.47 	57157.55 
222.81	2449.29 	56945.91 
223.49	2439.11 	56732.48 
205.20	2429.89 	56537.68 
76.96	2426.39 	56463.35 
192.39	2417.80 	56280.08 
162.33	2410.61 	56125.76 
263.86	2398.88 	55872.19 
193.37	2390.39 	55687.29 
228.18	2380.39 	55468.06 
151.83	2373.85 	55323.85 
146.07	2367.52 	55183.64 
236.81	2357.27 	54955.32 
65.60	2354.44 	54892.01 
77.52	2351.11 	54817.35 
87.95	2347.37 	54733.31 
138.59	2341.46 	54600.09 
241.94	2331.15 	54366.47 
236.55	2321.11 	54137.50 
62.47	2318.51 	54077.98 
143.05	2312.52 	53940.48 
173.97	2305.25 	53772.92 
147.01	2299.08 	53630.15 
206.67	2290.51 	53430.98 
199.37	2282.23 	53237.61 
118.74	2277.31 	53122.28 
153.10	2271.00 	52973.90 
52.79	2268.84 	52922.99 
288.44	2257.00 	52642.84 
89.57	2253.33 	52555.64 
77.67	2250.27 	52482.81 
140.75	2244.54 	52346.10 
97.47	2240.56 	52250.90 
171.12	2233.66 	52085.39 
132.29	2228.27 	51955.70 
286.23	2216.75 	51677.33 
279.24	2205.55 	51405.17 
63.31	2203.02 	51343.48 
236.08	2193.64 	51114.14 
118.13	2188.95 	50999.09 
156.01	2182.72 	50845.87 
189.74	2175.25 	50661.59 
290.80	2163.82 	50378.40 
156.39	2157.64 	50224.70 
302.07	2145.81 	49929.32 
128.83	2140.80 	49803.78 
230.70	2131.79 	49577.35 
223.70	2123.12 	49358.67 
191.25	2115.73 	49171.67 
232.52	2106.75 	48943.71 
224.94	2098.08 	48722.86 
99.02	2094.30 	48626.34 
85.91	2091.02 	48542.48 
312.61	2079.03 	48235.06 
96.96	2075.32 	48139.66 
60.82	2072.99 	48079.68 
200.15	2065.38 	47883.43 
285.12	2054.56 	47603.51 
228.64	2045.87 	47377.93 
103.62	2041.97 	47276.47 
150.01	2036.28 	47128.22 
175.95	2029.67 	46955.64 
313.96	2017.86 	46646.38 
95.17	2014.29 	46552.67 
282.16	2003.74 	46275.12 
226.08	1995.29 	46052.18 
154.42	1989.53 	45899.88 
102.99	1985.62 	45796.35 
170.38	1979.33 	45629.56 
182.70	1972.51 	45448.37 
86.60	1969.31 	45363.23 
212.04	1961.41 	45152.73 
115.70	1957.15 	45039.03 
159.69	1951.30 	44882.67 
211.38	1943.47 	44673.02 
121.44	1938.96 	44552.06 
133.70	1934.05 	44420.22 
220.64	1925.88 	44200.47 
128.18	1921.23 	44075.20 
280.39	1910.98 	43798.57 
321.38	1899.16 	43478.71 
255.44	1889.86 	43226.43 
148.38	1884.42 	43078.62 
214.32	1876.58 	42865.28 
85.12	1873.50 	42781.36 
304.04	1862.44 	42479.59 
297.74	1851.64 	42184.24 
280.74	1841.46 	41905.25 
127.28	1836.85 	41778.73 
221.33	1828.91 	41560.56 
59.45	1826.68 	41499.23 
172.55	1820.43 	41327.19 
143.40	1815.31 	41186.12 
100.47	1811.69 	41086.29 
103.57	1807.90 	40981.71 
174.33	1801.67 	40809.66 
81.73	1798.73 	40728.40 
219.97	1790.75 	40507.64 
187.55	1784.04 	40321.79 
248.02	1775.08 	40073.31 
252.46	1766.08 	39823.38 
233.45	1757.69 	39590.09 
64.41	1755.36 	39525.25 
74.82	1752.67 	39450.36 
145.22	1747.47 	39305.53 
204.36	1740.16 	39101.75 
239.00	1731.62 	38863.43 
170.27	1725.54 	38693.59 
284.73	1715.34 	38408.39 
257.72	1706.16 	38151.41 
327.08	1694.47 	37823.78 
204.55	1687.16 	37618.70 
149.65	1681.91 	37471.31 
83.02	1678.85 	37385.37 
229.38	1670.74 	37157.48 
273.31	1660.96 	36882.43 
175.17	1654.72 	36706.81 
83.88	1651.81 	36624.88 
129.82	1647.15 	36493.63 
97.24	1643.61 	36393.90 
137.82	1638.80 	36258.34 
179.47	1632.40 	36077.90 
204.59	1625.13 	35872.83 
184.45	1618.55 	35687.13 
302.62	1607.80 	35383.58 
203.48	1600.62 	35180.73 
321.65	1589.18 	34857.36 
235.05	1580.81 	34620.66 
326.24	1569.23 	34293.03 
122.32	1564.82 	34168.22 
248.05	1556.06 	33920.25 
137.65	1551.17 	33781.79 
246.30	1542.45 	33534.85 
252.17	1533.50 	33281.35 
73.94	1530.82 	33205.43 
128.71	1526.27 	33076.53 
118.68	1522.03 	32956.40 
244.88	1513.36 	32710.75 
292.62	1502.91 	32414.65 
154.80	1497.47 	32260.57 
273.28	1487.66 	31982.60 
246.25	1478.91 	31734.68 
58.64	1476.84 	31676.03 
226.02	1468.82 	31448.82 
164.19	1462.95 	31282.55 
312.54	1451.79 	30966.47 
55.66	1449.78 	30909.56 
187.10	1443.16 	30722.12 
173.45	1436.91 	30545.19 
184.05	1430.30 	30358.12 
273.68	1420.60 	30083.68 
145.31	1415.38 	29936.03 
276.05	1405.53 	29657.54 
188.11	1398.82 	29467.90 
63.63	1396.46 	29401.21 
105.47	1392.70 	29294.99 
257.94	1383.48 	29034.63 
187.06	1376.75 	28844.67 
98.55	1373.22 	28745.07 
151.44	1367.81 	28592.47 
225.70	1359.73 	28364.67 
106.68	1355.82 	28254.49 
261.04	1346.43 	27990.02 
122.99	1342.00 	27865.32 
309.81	1330.83 	27551.11 
130.53	1326.14 	27419.28 
266.27	1316.48 	27147.93 
106.76	1312.60 	27039.01 
135.63	1307.72 	26902.09 
79.26	1304.81 	26820.47 
214.49	1297.05 	26602.96 
243.09	1288.22 	26355.68 
206.41	1280.75 	26146.69 
171.54	1274.49 	25971.69 
230.76	1266.05 	25735.97 
233.21	1257.57 	25499.40 
239.81	1248.78 	25254.46 
227.09	1240.42 	25021.78 
313.02	1228.97 	24703.56 
111.18	1224.88 	24590.03 
246.20	1215.79 	24337.95 
119.20	1211.43 	24217.17 
87.35	1208.23 	24128.58 
217.58	1200.16 	23905.36 
177.85	1193.66 	23725.80 
177.88	1187.07 	23543.96 
230.61	1178.45 	23306.41 
262.13	1168.75 	23039.56 
148.12	1163.25 	22888.46 
230.85	1154.63 	22651.98 
165.42	1148.47 	22483.22 
278.40	1138.05 	22198.25 
275.32	1127.72 	21916.34 
121.64	1123.15 	21791.82 
216.12	1115.02 	21570.61 
206.56	1107.20 	21358.20 
196.22	1099.79 	21157.29 
280.73	1089.09 	20867.78 
123.17	1084.44 	20742.19 
135.54	1079.26 	20602.45 
84.51	1076.07 	20516.49 
298.42	1064.67 	20209.84 
219.88	1056.21 	19982.86 
176.67	1049.42 	19801.04 
218.93	1041.03 	19576.83 
191.84	1033.58 	19378.17 
219.72	1025.11 	19152.81 
191.82	1017.67 	18955.30 
235.36	1008.46 	18711.39 
185.72	1001.23 	18520.39 
305.06	989.30 	18206.12 
107.03	985.11 	18096.02 
78.44	982.05 	18015.71 
78.44	978.95 	17934.42 
65.34	976.32 	17865.52 
155.92	970.27 	17707.24 
162.75	963.79 	17538.06 
142.36	958.13 	17390.58 
241.74	948.50 	17140.30 
208.69	940.22 	16925.76 
240.84	930.50 	16674.70 
281.26	919.17 	16383.16 
291.06	907.44 	16082.58 
96.06	903.52 	15982.43 
84.03	900.13 	15895.94 
217.70	891.17 	15667.87 
72.77	888.23 	15593.21 
177.34	880.98 	15409.46 
178.20	873.67 	15224.73 
256.15	863.06 	14957.57 
164.02	856.21 	14785.71 
143.51	850.28 	14637.34 
208.74	841.56 	14419.83 
225.36	832.15 	14186.04 
169.90	824.95 	14007.80 
129.18	819.47 	13872.54 
84.11	815.97 	13786.32 
183.13	808.11 	13593.21 
107.36	803.49 	13480.03 
59.93	801.05 	13420.35 
223.06	791.50 	13187.45 
101.51	787.07 	13079.78 
148.07	780.65 	12924.16 
205.31	771.77 	12709.71 
128.35	766.18 	12575.21 
214.02	756.81 	12350.62 
135.84	750.87 	12208.81 
200.57	742.03 	11998.59 
201.28	732.99 	11784.64 
144.71	726.57 	11633.34 
50.19	724.37 	11581.62 
116.75	719.06 	11457.04 
140.18	712.82 	11311.13 
103.13	708.12 	11201.56 
86.97	704.15 	11109.25 
225.39	693.93 	10872.59 
137.10	687.63 	10727.42 
235.68	676.75 	10478.02 
126.01	670.84 	10343.25 
208.71	661.15 	10123.36 
127.78	655.18 	9988.56 
213.28	645.10 	9762.14 
200.68	635.55 	9549.03 
119.58	629.77 	9420.71 
87.63	625.61 	9328.67 
205.05	615.71 	9110.70 
234.92	604.21 	8859.42 
107.45	598.94 	8744.97 
175.48	590.23 	8556.78 
128.20	583.84 	8419.49 
206.00	573.50 	8198.76 
191.45	563.82 	7993.72 
72.20	560.14 	7916.18 
206.04	549.52 	7693.71 
231.25	537.63 	7446.94 
135.86	530.48 	7299.73 
205.87	519.64 	7078.29 
145.64	511.76 	6918.64 
66.65	508.21 	6847.08 
74.31	504.21 	6766.73 
112.80	498.14 	6645.37 
171.72	488.66 	6457.19 
185.46	478.40 	6255.45 
177.26	468.50 	6062.70 
91.52	463.31 	5962.42 
128.34	455.97 	5821.49 
50.13	453.07 	5766.11 
54.91	449.96 	5706.90 
57.17	446.59 	5642.96 
149.83	437.81 	5477.45 
118.46	430.86 	5347.56 
65.81	426.96 	5275.11 
115.30	420.01 	5146.78 
57.09	416.53 	5082.90 
43.13	413.98 	5036.26 
